device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38C7D61A,2022-05-01,00:00:01,22.37,72.0,0.0,24.769,120.978
74DA38C7D60A,2022-05-01,00:00:49,21.37,100.0,4.0,24.741,120.906
74DA38B053D6,2022-05-01,00:01:01,25.62,100.0,15.0,23.479,120.464
74DA38B053B2,2022-05-01,00:01:03,24.12,100.0,16.0,23.462,120.454
74DA38C7D46C,2022-05-01,00:01:24,23.25,100.0,31.0,23.483,120.487
74DA38B05396,2022-05-01,00:01:25,23.62,100.0,19.0,23.506,120.445
74DA38C7D62A,2022-05-01,00:01:27,19.5,100.0,0.0,24.813,120.981
74DA38B053A4,2022-05-01,00:01:42,27.37,77.0,12.0,23.491,120.454
74DA38C7CEC6,2022-05-01,00:01:43,24.12,81.0,15.0,23.475,120.455
74DA38C7D644,2022-05-01,00:01:46,21.37,86.0,5.0,24.813,120.964
74DA38B05452,2022-05-01,00:01:47,23.87,100.0,17.0,23.467,120.424
74DA38C7D530,2022-05-01,00:01:51,19.0,100.0,2.0,24.814,120.922
74DA38C7D238,2022-05-01,00:01:52,21.12,100.0,2.0,23.72,120.338
74DA38C7D5AE,2022-05-01,00:01:55,26.5,100.0,7.0,23.612,120.158
74DA38C7D252,2022-05-01,00:01:59,24.62,100.0,8.0,23.633,120.401
74DA38B0539E,2022-05-01,00:02:11,23.25,100.0,6.0,23.469,120.461
74DA38B053E4,2022-05-01,00:02:43,20.75,100.0,4.0,24.797,121.001
74DA38C7D5B6,2022-05-01,00:02:46,24.12,100.0,2.0,23.514,120.229
74DA38C7CEAE,2022-05-01,00:03:02,25.62,100.0,7.0,23.472,120.415
74DA38C7D2AC,2022-05-01,00:03:02,24.37,100.0,9.0,23.707,120.451
74DA38C7D510,2022-05-01,00:03:03,20.62,100.0,6.0,24.789,120.927
74DA38C7D4C6,2022-05-01,00:03:18,24.37,100.0,2.0,23.788,120.444
74DA38C7D4BA,2022-05-01,00:03:24,24.87,98.0,3.0,23.798,120.438
