device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38C7D2AA,2022-06-14,00:00:08,28.25,100.0,6.0,23.718,120.441
74DA38C7D408,2022-06-14,00:00:16,28.0,100.0,0.0,23.755,120.374
74DA38C7CEAC,2022-06-14,00:00:17,28.75,100.0,2.0,23.459,120.455
74DA38C7D260,2022-06-14,00:00:21,27.75,100.0,10.0,23.713,120.431
74DA38C7D60A,2022-06-14,00:00:24,29.0,100.0,2.0,24.741,120.906
74DA38C7D454,2022-06-14,00:00:26,28.5,100.0,4.0,23.773,120.265
74DA38C7D62A,2022-06-14,00:00:27,29.0,100.0,0.0,24.813,120.981
74DA38C7D2A4,2022-06-14,00:00:41,27.87,100.0,1.0,25.062,121.451
74DA38C7D3A6,2022-06-14,00:00:43,27.37,100.0,0.0,23.612,120.293
74DA38C7D510,2022-06-14,00:00:45,28.75,100.0,2.0,24.789,120.927
74DA38C7D2AC,2022-06-14,00:00:47,27.75,100.0,9.0,23.707,120.451
74DA38C7D640,2022-06-14,00:00:51,28.75,100.0,0.0,24.802,120.959
74DA38B053B2,2022-06-14,00:00:59,29.5,100.0,2.0,23.462,120.454
74DA38C7D242,2022-06-14,00:01:09,29.0,100.0,5.0,23.711,120.265
74DA38C7D616,2022-06-14,00:01:17,28.75,100.0,1.0,24.794,120.978
74DA38C7D58C,2022-06-14,00:01:36,28.0,100.0,3.0,24.843,120.927
74DA38C7D652,2022-06-14,00:01:43,27.87,87.0,3.0,24.784,121.022
74DA38C7D4C6,2022-06-14,00:01:55,27.87,100.0,4.0,23.788,120.444
74DA38C7CEAE,2022-06-14,00:02:00,29.75,100.0,1.0,23.472,120.415
74DA38C7D61A,2022-06-14,00:02:06,31.86,60.0,0.0,24.769,120.978
74DA38B053B8,2022-06-14,00:02:30,30.11,100.0,1.0,23.62,120.459
74DA38C7D252,2022-06-14,00:02:34,28.5,100.0,4.0,23.633,120.401
74DA38C7D4BA,2022-06-14,00:02:47,27.5,100.0,5.0,23.798,120.438
74DA38B053F8,2022-06-14,00:02:51,28.11,100.0,5.0,24.807,120.955
74DA38C7D5A2,2022-06-14,00:02:51,28.86,100.0,7.0,23.472,120.453
74DA38B053D8,2022-06-14,00:03:08,30.25,100.0,2.0,23.471,120.464
74DA38C7D606,2022-06-14,00:03:15,28.86,82.0,3.0,24.822,120.973
74DA38C7CEB6,2022-06-14,00:03:20,31.11,71.0,2.0,23.471,120.446
74DA38B05406,2022-06-14,00:03:36,29.5,100.0,4.0,23.698,120.539
74DA38C7CEA6,2022-06-14,00:03:38,29.75,81.0,2.0,23.474,120.47
74DA38C7D26A,2022-06-14,00:03:39,29.36,28.0,0.0,23.706,120.427
74DA38C7CF66,2022-06-14,00:03:46,29.25,100.0,2.0,23.699,120.54
74DA38C7D402,2022-06-14,00:03:48,28.5,100.0,1.0,23.792,120.33
74DA38C7D5AE,2022-06-14,00:03:53,29.36,100.0,6.0,23.612,120.158
74DA38C7D5B8,2022-06-14,00:04:03,29.0,100.0,3.0,23.6,120.179
74DA38C7D5E6,2022-06-14,00:04:15,28.0,100.0,5.0,23.62,120.261
74DA38C7D644,2022-06-14,00:04:15,28.36,94.0,3.0,24.813,120.964
74DA38B0539E,2022-06-14,00:04:35,28.75,100.0,0.0,23.469,120.461
