device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38B0539E,2022-11-01,00:00:04,22.25,100.0,20.0,23.581,120.559
74DA38C7D5A2,2022-11-01,00:00:27,24.0,100.0,7.0,23.472,120.453
74DA38B053B8,2022-11-01,00:00:38,22.5,100.0,4.0,23.62,120.459
74DA38C7D4B4,2022-11-01,00:00:48,26.0,76.0,6.0,23.605,120.459
74DA38B053CE,2022-11-01,00:01:00,25.62,77.0,9.0,23.496,120.457
74DA38C7CEAE,2022-11-01,00:01:07,24.5,100.0,10.0,23.472,120.415
74DA38B05452,2022-11-01,00:01:15,23.75,100.0,9.0,23.467,120.424
74DA38B053AE,2022-11-01,00:01:26,25.37,72.0,85.0,23.456,120.422
74DA38C7D62A,2022-11-01,00:01:29,21.62,100.0,0.0,24.813,120.981
74DA38C7D58C,2022-11-01,00:01:54,20.87,100.0,6.0,24.843,120.927
74DA38C7D616,2022-11-01,00:02:14,21.12,100.0,1.0,24.794,120.978
74DA38B05406,2022-11-01,00:02:26,23.0,100.0,3.0,23.698,120.539
74DA38C7CF64,2022-11-01,00:02:33,23.0,100.0,3.0,23.547,120.195
74DA38C7D652,2022-11-01,00:02:50,22.25,98.0,3.0,24.784,121.022
74DA38C7D530,2022-11-01,00:02:59,20.75,100.0,2.0,24.814,120.922
74DA38B05400,2022-11-01,00:03:06,23.62,90.0,2.0,23.721,120.585
74DA38C7D5E6,2022-11-01,00:03:16,22.25,100.0,4.0,23.62,120.261
74DA38C7D640,2022-11-01,00:03:19,21.62,100.0,1.0,24.802,120.959
74DA38C7D2A4,2022-11-01,00:03:43,22.37,100.0,0.0,25.062,121.451
74DA38C7D606,2022-11-01,00:03:43,22.87,100.0,3.0,24.822,120.973
74DA38B053E4,2022-11-01,00:03:48,21.12,100.0,3.0,24.797,121.001
74DA38C7CEA6,2022-11-01,00:03:49,25.87,82.0,5.0,23.474,120.47
74DA38C7CF66,2022-11-01,00:03:49,23.12,100.0,3.0,23.699,120.54
74DA38C7D2AC,2022-11-01,00:03:51,23.37,100.0,3.0,23.707,120.451
74DA38C7D454,2022-11-01,00:03:57,23.62,100.0,5.0,23.773,120.265
74DA38C7CEAC,2022-11-01,00:04:04,23.37,100.0,7.0,23.459,120.455
74DA38C7D4BA,2022-11-01,00:04:37,24.25,100.0,1.0,23.798,120.438
74DA38C7D510,2022-11-01,00:04:40,21.5,100.0,0.0,24.789,120.927
74DA38C7D4C6,2022-11-01,00:04:58,24.0,100.0,1.0,23.788,120.444
74DA38C7D260,2022-11-01,00:05:28,23.87,100.0,2.0,23.713,120.431
74DA38C7D242,2022-11-01,00:05:30,23.25,100.0,4.0,23.711,120.265
74DA38C7D5AE,2022-11-01,00:05:34,25.87,100.0,7.0,23.612,120.158
74DA38C7D61A,2022-11-01,00:05:35,23.75,76.0,1.0,24.769,120.978
74DA38B053F4,2022-11-01,00:05:39,24.62,100.0,2.0,24.79,120.953
74DA38B053F8,2022-11-01,00:05:40,21.37,100.0,5.0,24.807,120.955
74DA38C7D46C,2022-11-01,00:05:51,21.62,100.0,12.0,23.483,120.487
74DA38B053D6,2022-11-01,00:05:52,22.12,100.0,9.0,23.479,120.464
74DA38C7D60A,2022-11-01,00:05:56,22.12,100.0,3.0,24.741,120.906
74DA38B0539E,2022-11-01,00:05:59,22.37,100.0,16.0,23.581,120.559
74DA38C7D5A2,2022-11-01,00:06:29,23.87,100.0,8.0,23.472,120.453
74DA38B053B8,2022-11-01,00:06:33,22.5,100.0,3.0,23.62,120.459
74DA38C7D4B4,2022-11-01,00:06:49,26.0,76.0,6.0,23.605,120.459
74DA38B053CE,2022-11-01,00:06:54,25.62,77.0,9.0,23.496,120.457
74DA38C7CEAE,2022-11-01,00:07:08,24.62,100.0,8.0,23.472,120.415
74DA38B05452,2022-11-01,00:07:10,23.87,100.0,7.0,23.467,120.424
74DA38B053AE,2022-11-01,00:07:21,25.37,72.0,52.0,23.456,120.422
74DA38C7D62A,2022-11-01,00:07:32,21.62,100.0,5.0,24.813,120.981
74DA38C7D238,2022-11-01,00:07:35,21.87,100.0,0.0,23.72,120.338
74DA38C7D58C,2022-11-01,00:07:56,21.0,100.0,7.0,24.843,120.927
74DA38B053E0,2022-11-01,00:07:59,23.25,94.0,5.0,25.062,121.451
74DA38C7D616,2022-11-01,00:08:15,21.12,100.0,1.0,24.794,120.978
