device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38C7D652,2023-11-21,00:00:06,19.5,80.0,17.0,24.784,121.022
74DA38B05406,2023-11-21,00:00:34,20.5,100.0,17.0,23.698,120.539
74DA38C7CEAC,2023-11-21,00:00:57,21.37,100.0,20.0,23.459,120.455
74DA38C7D2AC,2023-11-21,00:01:01,22.0,100.0,28.0,23.707,120.451
74DA38B0539E,2023-11-21,00:01:18,19.25,100.0,113.0,23.581,120.559
74DA38C7D238,2023-11-21,00:01:22,18.87,100.0,8.0,23.72,120.338
74DA38B053F4,2023-11-21,00:01:37,25.87,100.0,3.0,24.79,120.953
74DA38C7D63E,2023-11-21,00:01:41,19.37,89.0,6.0,24.747,121.004
74DA38C7D61A,2023-11-21,00:01:43,23.25,63.0,13.0,24.769,120.978
74DA38C7D408,2023-11-21,00:01:47,21.0,100.0,23.0,23.755,120.374
74DA38C7D46C,2023-11-21,00:02:04,21.25,100.0,22.0,23.483,120.487
74DA38C7D4B4,2023-11-21,00:02:07,23.87,63.0,41.0,23.605,120.459
74DA38C7CEA6,2023-11-21,00:02:10,23.62,70.0,15.0,23.474,120.47
74DA38C7D260,2023-11-21,00:02:18,22.75,100.0,25.0,23.713,120.431
74DA38C7D454,2023-11-21,00:02:56,21.5,100.0,0.0,23.773,120.265
74DA38C7D5E6,2023-11-21,00:03:13,20.37,100.0,54.0,23.62,120.261
74DA38B053B2,2023-11-21,00:03:20,20.25,100.0,0.0,23.462,120.454
74DA38C7D5AE,2023-11-21,00:03:31,24.5,100.0,24.0,23.612,120.158
74DA38C7D62A,2023-11-21,00:03:37,19.37,100.0,2.0,24.813,120.981
74DA38B053D4,2023-11-21,00:03:44,23.12,70.0,6.0,25.021,121.501
74DA38B053E4,2023-11-21,00:03:58,19.62,100.0,13.0,24.797,121.001
74DA38C7D606,2023-11-21,00:04:15,21.62,72.0,14.0,24.822,120.973
74DA38B053F8,2023-11-21,00:04:34,21.0,100.0,22.0,24.807,120.955
74DA38C7D60A,2023-11-21,00:05:09,20.0,100.0,0.0,24.741,120.906
74DA38C7D510,2023-11-21,00:05:26,20.87,100.0,30.0,24.789,120.927
74DA38C7D616,2023-11-21,00:05:32,20.25,100.0,9.0,24.794,120.978
74DA38C7D60C,2023-11-21,00:05:41,16.12,100.0,16.0,24.727,120.929
74DA38C7D640,2023-11-21,00:05:43,20.62,100.0,19.0,24.802,120.959
74DA38C7D092,2023-11-21,00:05:53,20.62,79.0,20.0,23.442,120.454
74DA38C7D242,2023-11-21,00:05:53,23.62,100.0,42.0,23.711,120.265
74DA38C7D58C,2023-11-21,00:05:58,19.12,100.0,11.0,24.843,120.927
