device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38C7D242,2023-06-03,00:00:02,31.5,100.0,36.0,23.711,120.265
74DA38C7D61A,2023-06-03,00:00:02,31.25,75.0,14.0,24.769,120.978
74DA38C7D63E,2023-06-03,00:00:10,28.61,100.0,8.0,24.747,121.004
74DA38C7D62A,2023-06-03,00:00:26,30.11,100.0,4.0,24.813,120.981
74DA38C7D58C,2023-06-03,00:00:29,28.75,100.0,29.0,24.843,120.927
74DA38B053D4,2023-06-03,00:00:43,29.61,75.0,7.0,25.021,121.501
74DA38C7D4C6,2023-06-03,00:00:45,28.5,100.0,7.0,23.788,120.444
74DA38C7D616,2023-06-03,00:00:48,30.11,100.0,19.0,24.794,120.978
74DA38C7D4BA,2023-06-03,00:01:16,27.87,100.0,19.0,23.798,120.438
74DA38B0539E,2023-06-03,00:01:43,27.37,100.0,18.0,23.581,120.559
74DA38B05400,2023-06-03,00:01:44,29.11,98.0,8.0,23.721,120.585
74DA38C7D092,2023-06-03,00:01:47,29.25,95.0,23.0,23.442,120.454
74DA38C7D606,2023-06-03,00:02:15,29.61,100.0,29.0,24.822,120.973
74DA38C7D4B4,2023-06-03,00:02:20,30.25,87.0,15.0,23.605,120.459
74DA38C7CF66,2023-06-03,00:02:26,29.75,100.0,20.0,23.699,120.54
74DA38C7D640,2023-06-03,00:02:33,30.25,100.0,15.0,24.802,120.959
74DA38B053CE,2023-06-03,00:02:41,29.25,91.0,12.0,23.496,120.457
74DA38C7D510,2023-06-03,00:02:55,29.36,100.0,36.0,24.789,120.927
74DA38C7D2AC,2023-06-03,00:03:27,28.5,100.0,17.0,23.707,120.451
74DA38C7D5E6,2023-06-03,00:03:43,29.0,100.0,40.0,23.62,120.261
74DA38C7D454,2023-06-03,00:03:51,29.61,100.0,0.0,23.773,120.265
74DA38C7D5AE,2023-06-03,00:03:55,29.36,100.0,19.0,23.612,120.158
74DA38C7D5A2,2023-06-03,00:04:07,27.5,100.0,12.0,23.472,120.453
74DA38C7D60A,2023-06-03,00:04:07,29.86,100.0,34.0,24.741,120.906
74DA38B053E0,2023-06-03,00:04:17,29.36,97.0,29.0,25.062,121.451
74DA38B053AE,2023-06-03,00:04:24,30.11,85.0,41.0,23.456,120.422
74DA38C7D252,2023-06-03,00:04:26,29.11,100.0,14.0,23.633,120.401
74DA38C7CEA6,2023-06-03,00:04:29,30.5,92.0,14.0,23.474,120.47
74DA38C7CEAC,2023-06-03,00:04:31,28.11,100.0,19.0,23.459,120.455
74DA38C7D530,2023-06-03,00:04:31,30.5,100.0,10.0,24.814,120.922
74DA38B053E4,2023-06-03,00:04:32,27.75,100.0,26.0,24.797,121.001
74DA38C7D652,2023-06-03,00:04:37,28.5,100.0,33.0,24.784,121.022
74DA38B053F8,2023-06-03,00:04:38,29.0,100.0,35.0,24.807,120.955
74DA38B053F4,2023-06-03,00:04:48,29.0,100.0,9.0,24.79,120.953
74DA38B05406,2023-06-03,00:04:54,27.0,100.0,13.0,23.698,120.539
74DA38B053D6,2023-06-03,00:05:06,26.87,100.0,16.0,23.479,120.464
74DA38B053B2,2023-06-03,00:05:24,27.12,100.0,15.0,23.462,120.454
74DA38C7D402,2023-06-03,00:05:34,30.25,100.0,3.0,23.792,120.33
74DA38C7D46C,2023-06-03,00:05:35,27.5,100.0,22.0,23.483,120.487
74DA38C7D61A,2023-06-03,00:06:04,31.36,74.0,15.0,24.769,120.978
74DA38C7D242,2023-06-03,00:06:09,31.25,100.0,32.0,23.711,120.265
74DA38C7D63E,2023-06-03,00:06:11,28.61,100.0,8.0,24.747,121.004
74DA38C7D62A,2023-06-03,00:06:29,30.25,100.0,4.0,24.813,120.981
74DA38C7D58C,2023-06-03,00:06:32,28.75,100.0,29.0,24.843,120.927
74DA38B053D4,2023-06-03,00:06:44,29.61,75.0,6.0,25.021,121.501
74DA38C7D4C6,2023-06-03,00:06:46,28.36,100.0,7.0,23.788,120.444
74DA38C7D616,2023-06-03,00:06:51,30.25,100.0,20.0,24.794,120.978
74DA38C7D4BA,2023-06-03,00:07:18,27.87,100.0,16.0,23.798,120.438
74DA38C7D238,2023-06-03,00:07:26,-4.0,0.0,4.0,23.72,120.338
74DA38B05400,2023-06-03,00:07:39,29.11,97.0,9.0,23.721,120.585
74DA38B0539E,2023-06-03,00:07:45,27.37,100.0,19.0,23.581,120.559
