device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38C7D4BA,2021-02-09,00:00:09,19.5,81.0,24.0,23.798,120.438
74DA38B05400,2021-02-09,00:00:18,18.25,80.0,48.0,23.721,120.585
74DA38E2B72C,2021-02-09,00:00:18,19.37,100.0,36.0,23.471,120.174
74DA38C7D62A,2021-02-09,00:00:24,17.62,100.0,4.0,24.813,120.981
74DA38B05396,2021-02-09,00:00:25,17.87,100.0,44.0,23.506,120.445
74DA38B05452,2021-02-09,00:00:38,17.62,100.0,30.0,23.467,120.424
74DA38C7D260,2021-02-09,00:00:38,17.62,100.0,33.0,23.713,120.431
74DA38C7CF66,2021-02-09,00:00:49,23.12,100.0,7.0,23.699,120.54
74DA38C7D5FE,2021-02-09,00:00:54,17.75,97.0,16.0,24.745,120.933
74DA38C7D64A,2021-02-09,00:00:59,18.0,83.0,17.0,24.811,121.002
74DA38B053F8,2021-02-09,00:01:05,17.5,100.0,20.0,24.807,120.955
74DA38E2B642,2021-02-09,00:01:05,17.25,99.0,39.0,23.608,120.454
74DA38C7D252,2021-02-09,00:01:12,18.5,99.0,32.0,23.633,120.401
74DA38E2B75E,2021-02-09,00:01:13,18.0,100.0,24.0,23.555,120.344
74DA38B05456,2021-02-09,00:01:16,19.25,100.0,49.0,23.468,120.461
74DA38B053B2,2021-02-09,00:01:20,17.5,100.0,58.0,23.462,120.454
74DA38C7D61A,2021-02-09,00:01:30,22.0,55.0,9.0,24.769,120.978
74DA38E2B736,2021-02-09,00:01:33,19.5,100.0,32.0,23.557,120.303
74DA38C7D4C6,2021-02-09,00:01:34,19.87,100.0,25.0,23.788,120.444
74DA38C7D26A,2021-02-09,00:01:58,18.25,30.0,31.0,23.706,120.427
74DA38C7D166,2021-02-09,00:02:01,15.12,79.0,25.0,24.445,118.377
74DA38C7CF60,2021-02-09,00:02:05,20.62,100.0,36.0,23.686,120.388
74DA38C7D652,2021-02-09,00:02:05,18.25,70.0,19.0,24.784,121.022
74DA38C7D530,2021-02-09,00:02:21,18.0,100.0,14.0,24.814,120.922
74DA38E2B7F2,2021-02-09,00:02:28,16.5,100.0,27.0,23.454,120.329
74DA38C7CEAE,2021-02-09,00:02:40,20.5,100.0,39.0,23.472,120.415
74DA38E2B68C,2021-02-09,00:02:52,15.87,91.0,30.0,23.561,120.606
74DA38C7D648,2021-02-09,00:02:54,17.0,100.0,17.0,24.796,120.966
