device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38C7D63E,2021-01-29,00:00:01,14.25,70.0,15.0,24.747,121.004
74DA38C7D640,2021-01-29,00:00:11,13.62,100.0,31.0,24.802,120.959
74DA38C7D5E8,2021-01-29,00:00:12,16.5,100.0,6.0,23.518,120.207
74DA38B053E4,2021-01-29,00:00:21,13.5,65.0,42.0,24.797,121.001
74DA38B05452,2021-01-29,00:00:29,18.25,95.0,12.0,23.467,120.424
74DA38C7D454,2021-01-29,00:00:30,16.5,84.0,46.0,23.773,120.265
74DA38C7D61A,2021-01-29,00:00:43,17.75,49.0,31.0,24.769,120.978
74DA38C7D62A,2021-01-29,00:00:48,14.25,100.0,13.0,24.813,120.981
74DA38B05396,2021-01-29,00:00:59,14.12,100.0,33.0,23.506,120.445
74DA38C7D510,2021-01-29,00:01:00,14.5,74.0,45.0,24.789,120.927
74DA38C7D58C,2021-01-29,00:01:12,14.12,73.0,42.0,24.843,120.927
74DA38C7D5FE,2021-01-29,00:01:19,14.62,81.0,40.0,24.745,120.933
74DA38C7D5B6,2021-01-29,00:01:30,15.37,88.0,41.0,23.514,120.229
74DA38C7D4C6,2021-01-29,00:01:38,17.12,91.0,39.0,23.788,120.444
74DA38B05406,2021-01-29,00:01:50,15.5,89.0,28.0,23.698,120.539
74DA38C7D252,2021-01-29,00:01:56,15.12,83.0,42.0,23.633,120.401
74DA38C7CEA6,2021-01-29,00:01:57,19.12,62.0,30.0,23.474,120.47
74DA38B0539E,2021-01-29,00:02:11,15.12,92.0,13.0,23.469,120.461
74DA38C7CEAC,2021-01-29,00:02:14,16.25,100.0,31.0,23.459,120.455
74DA38C7D260,2021-01-29,00:02:18,14.87,100.0,45.0,23.713,120.431
74DA38B053D6,2021-01-29,00:02:28,17.37,58.0,28.0,23.479,120.464
74DA38B05456,2021-01-29,00:02:48,14.25,100.0,33.0,23.468,120.461
74DA38B053B8,2021-01-29,00:03:00,15.0,100.0,31.0,23.62,120.459
74DA38C7D652,2021-01-29,00:03:15,15.25,58.0,41.0,24.784,121.022
74DA38C7D5B8,2021-01-29,00:03:24,18.37,62.0,41.0,23.6,120.179
74DA38B053B0,2021-01-29,00:03:30,15.5,100.0,33.0,23.489,120.464
74DA38B053F8,2021-01-29,00:03:39,14.25,94.0,39.0,24.807,120.955
74DA38C7CF60,2021-01-29,00:03:41,16.62,87.0,37.0,23.686,120.388
74DA38C7D5A2,2021-01-29,00:03:42,16.37,82.0,37.0,23.472,120.453
74DA38C7D648,2021-01-29,00:03:50,13.5,100.0,42.0,24.796,120.966
74DA38C7D60A,2021-01-29,00:03:53,14.25,100.0,43.0,24.741,120.906
74DA38C7D46C,2021-01-29,00:03:59,13.87,100.0,45.0,23.483,120.487
74DA38C7D456,2021-01-29,00:04:06,16.12,69.0,34.0,23.593,120.301
74DA38C7D616,2021-01-29,00:04:09,13.62,100.0,26.0,24.794,120.978
74DA38C7CF66,2021-01-29,00:04:10,16.5,100.0,10.0,23.699,120.54
74DA38C7D26A,2021-01-29,00:04:43,15.62,31.0,45.0,23.706,120.427
74DA38C7D2AE,2021-01-29,00:04:46,14.87,100.0,47.0,23.605,120.459
74DA38B05402,2021-01-29,00:05:00,15.12,100.0,0.0,23.741,120.555
74DA38C7D530,2021-01-29,00:05:05,14.62,100.0,34.0,24.814,120.922
74DA38C7D2AC,2021-01-29,00:05:08,17.87,100.0,38.0,23.707,120.451
74DA38C7CEB6,2021-01-29,00:05:10,17.87,61.0,43.0,23.471,120.446
74DA38C7CEC6,2021-01-29,00:05:16,15.5,70.0,26.0,23.475,120.455
74DA38C7D254,2021-01-29,00:05:16,19.0,57.0,30.0,23.644,120.431
74DA38C7D628,2021-01-29,00:05:17,15.37,88.0,12.0,24.79,121.007
74DA38B053B2,2021-01-29,00:05:18,14.5,100.0,34.0,23.462,120.454
74DA38B05400,2021-01-29,00:05:23,15.87,74.0,32.0,23.721,120.585
74DA38C7D2A4,2021-01-29,00:05:28,15.37,100.0,22.0,25.062,121.451
74DA38B05450,2021-01-29,00:05:51,18.0,77.0,23.0,23.478,120.459
74DA38C7CEAE,2021-01-29,00:05:51,17.37,100.0,40.0,23.472,120.415
74DA38C7D63E,2021-01-29,00:06:09,14.37,70.0,15.0,24.747,121.004
74DA38C7D5E8,2021-01-29,00:06:15,16.62,100.0,7.0,23.518,120.207
74DA38C7D640,2021-01-29,00:06:16,13.75,100.0,31.0,24.802,120.959
74DA38B053E4,2021-01-29,00:06:17,13.5,65.0,43.0,24.797,121.001
74DA38B05452,2021-01-29,00:06:24,18.5,94.0,13.0,23.467,120.424
74DA38C7D454,2021-01-29,00:06:39,16.5,84.0,45.0,23.773,120.265
74DA38C7D61A,2021-01-29,00:06:48,17.75,49.0,31.0,24.769,120.978
74DA38B05396,2021-01-29,00:06:54,14.25,100.0,33.0,23.506,120.445
74DA38C7D510,2021-01-29,00:06:56,14.62,74.0,46.0,24.789,120.927
74DA38C7D62A,2021-01-29,00:07:02,14.12,100.0,12.0,24.813,120.981
74DA38C7D58C,2021-01-29,00:07:24,14.12,72.0,41.0,24.843,120.927
74DA38C7D5FE,2021-01-29,00:07:28,14.75,80.0,40.0,24.745,120.933
