device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38C7D58C,2024-12-31,00:00:16,16.5,100.0,25.0,24.843,120.927
74DA38C7D606,2024-12-31,00:00:16,19.0,84.0,30.0,24.822,120.973
74DA38C7D46C,2024-12-31,00:00:50,15.62,100.0,53.0,23.483,120.487
74DA38B053B2,2024-12-31,00:01:23,17.25,100.0,31.0,23.462,120.454
74DA38B053E4,2024-12-31,00:01:25,16.5,100.0,17.0,24.797,121.001
74DA38B053E0,2024-12-31,00:01:40,18.5,83.0,12.0,25.062,121.451
74DA38B053F8,2024-12-31,00:02:09,16.87,100.0,31.0,24.807,120.955
74DA38B053F4,2024-12-31,00:02:38,24.0,100.0,3.0,24.79,120.953
74DA38B053AE,2024-12-31,00:02:45,18.12,75.0,35.0,24.304,120.73
74DA38B0539E,2024-12-31,00:02:54,16.25,100.0,42.0,23.581,120.559
74DA38C7D62A,2024-12-31,00:03:29,17.0,100.0,1.0,24.813,120.981
74DA38C7D510,2024-12-31,00:04:04,17.62,100.0,26.0,24.789,120.927
74DA38C7D60A,2024-12-31,00:04:52,18.37,100.0,0.0,24.741,120.906
74DA38B053CA,2024-12-31,00:04:55,18.75,76.0,31.0,24.948,121.206
74DA38C7D652,2024-12-31,00:04:58,17.75,88.0,22.0,24.784,121.022
74DA38C7D4B4,2024-12-31,00:05:19,21.0,65.0,37.0,23.605,120.459
74DA38C7D616,2024-12-31,00:05:25,16.75,100.0,13.0,24.794,120.978
74DA38C7D640,2024-12-31,00:05:36,17.37,100.0,25.0,24.802,120.959
74DA38C7CEAC,2024-12-31,00:05:42,18.25,100.0,41.0,23.459,120.455
74DA38C7D58C,2024-12-31,00:06:19,16.5,100.0,25.0,24.843,120.927
74DA38C7D606,2024-12-31,00:06:21,19.0,84.0,29.0,24.822,120.973
74DA38C7D46C,2024-12-31,00:07:02,15.62,100.0,54.0,23.483,120.487
74DA38B053B2,2024-12-31,00:07:20,17.12,100.0,30.0,23.462,120.454
74DA38B053E4,2024-12-31,00:07:22,16.75,100.0,18.0,24.797,121.001
74DA38B053E0,2024-12-31,00:07:35,18.37,84.0,12.0,25.062,121.451
74DA38B053F8,2024-12-31,00:08:04,16.87,100.0,31.0,24.807,120.955
74DA38B053F4,2024-12-31,00:08:34,24.0,100.0,4.0,24.79,120.953
74DA38B053AE,2024-12-31,00:08:40,18.0,75.0,28.0,24.304,120.73
74DA38B0539E,2024-12-31,00:08:50,16.25,100.0,41.0,23.581,120.559
74DA38C7D62A,2024-12-31,00:09:31,17.0,100.0,2.0,24.813,120.981
74DA38C7D510,2024-12-31,00:10:00,17.62,100.0,26.0,24.789,120.927
74DA38B053CA,2024-12-31,00:10:49,18.75,76.0,31.0,24.948,121.206
74DA38C7D60A,2024-12-31,00:10:54,18.37,100.0,0.0,24.741,120.906
74DA38C7D652,2024-12-31,00:11:01,17.87,89.0,22.0,24.784,121.022
74DA38C7D4B4,2024-12-31,00:11:24,21.12,65.0,39.0,23.605,120.459
74DA38C7D616,2024-12-31,00:11:25,16.62,100.0,12.0,24.794,120.978
74DA38C7D640,2024-12-31,00:11:41,17.5,100.0,26.0,24.802,120.959
74DA38C7CEAC,2024-12-31,00:11:51,18.12,100.0,43.0,23.459,120.455
74DA38C7D58C,2024-12-31,00:12:22,16.62,100.0,26.0,24.843,120.927
74DA38C7D606,2024-12-31,00:12:26,19.0,84.0,28.0,24.822,120.973
74DA38C7D46C,2024-12-31,00:13:12,15.62,100.0,57.0,23.483,120.487
74DA38B053B2,2024-12-31,00:13:15,17.12,100.0,30.0,23.462,120.454
74DA38B053E4,2024-12-31,00:13:17,16.75,100.0,17.0,24.797,121.001
74DA38B053E0,2024-12-31,00:13:31,18.37,84.0,11.0,25.062,121.451
74DA38B053F8,2024-12-31,00:13:59,16.87,100.0,31.0,24.807,120.955
74DA38B053F4,2024-12-31,00:14:29,24.0,100.0,4.0,24.79,120.953
74DA38B053AE,2024-12-31,00:14:35,18.12,75.0,28.0,24.304,120.73
74DA38B0539E,2024-12-31,00:14:46,16.25,100.0,38.0,23.581,120.559
74DA38C7D62A,2024-12-31,00:15:33,17.0,100.0,2.0,24.813,120.981
74DA38C7D510,2024-12-31,00:15:55,17.87,100.0,26.0,24.789,120.927
74DA38B053CA,2024-12-31,00:16:42,18.62,76.0,31.0,24.948,121.206
74DA38C7D60A,2024-12-31,00:16:55,18.37,100.0,0.0,24.741,120.906
74DA38C7D652,2024-12-31,00:17:04,17.75,88.0,22.0,24.784,121.022
74DA38C7D4B4,2024-12-31,00:17:26,21.12,66.0,39.0,23.605,120.459
74DA38C7D616,2024-12-31,00:17:26,16.75,100.0,13.0,24.794,120.978
74DA38C7D640,2024-12-31,00:17:45,17.62,100.0,25.0,24.802,120.959
74DA38C7CEAC,2024-12-31,00:17:56,18.12,100.0,41.0,23.459,120.455
74DA38C7D58C,2024-12-31,00:18:25,16.62,100.0,25.0,24.843,120.927
74DA38C7D606,2024-12-31,00:18:28,19.12,84.0,29.0,24.822,120.973
74DA38B053B2,2024-12-31,00:19:12,17.25,100.0,30.0,23.462,120.454
74DA38B053E4,2024-12-31,00:19:14,16.75,100.0,20.0,24.797,121.001
74DA38C7D46C,2024-12-31,00:19:24,15.75,100.0,59.0,23.483,120.487
