device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38C7D62A,2024-02-03,00:00:43,17.37,100.0,0.0,24.813,120.981
74DA38B053F8,2024-02-03,00:01:35,18.37,100.0,12.0,24.807,120.955
74DA38C7D63E,2024-02-03,00:01:43,17.62,100.0,3.0,24.747,121.004
74DA38C7D616,2024-02-03,00:01:49,17.25,100.0,5.0,24.794,120.978
74DA38C7D60A,2024-02-03,00:02:09,18.87,100.0,0.0,24.741,120.906
74DA38C7D46C,2024-02-03,00:02:19,18.62,100.0,57.0,23.483,120.487
74DA38C7D510,2024-02-03,00:02:32,18.87,100.0,12.0,24.789,120.927
74DA38B0539E,2024-02-03,00:02:41,17.5,100.0,98.0,23.581,120.559
74DA38C7D652,2024-02-03,00:02:52,18.37,100.0,17.0,24.784,121.022
74DA38C7CEAC,2024-02-03,00:03:07,21.12,100.0,46.0,23.459,120.455
74DA38B053F4,2024-02-03,00:03:17,23.87,100.0,0.0,24.79,120.953
74DA38B053D4,2024-02-03,00:03:18,22.25,80.0,1.0,25.021,121.501
74DA38C7D4B4,2024-02-03,00:03:28,23.87,73.0,42.0,23.605,120.459
74DA38C7CEA6,2024-02-03,00:03:38,23.5,81.0,38.0,23.474,120.47
74DA38B053B2,2024-02-03,00:03:51,19.5,100.0,0.0,23.462,120.454
74DA38C7D606,2024-02-03,00:04:55,19.87,97.0,8.0,24.822,120.973
74DA38B053E4,2024-02-03,00:05:46,17.25,100.0,10.0,24.797,121.001
74DA38C7D092,2024-02-03,00:05:47,20.5,90.0,46.0,23.442,120.454
74DA38C7D62A,2024-02-03,00:06:46,17.25,100.0,0.0,24.813,120.981
74DA38B053F8,2024-02-03,00:07:30,18.37,100.0,12.0,24.807,120.955
74DA38C7D63E,2024-02-03,00:07:44,17.62,100.0,3.0,24.747,121.004
74DA38C7D60A,2024-02-03,00:08:10,18.87,100.0,0.0,24.741,120.906
74DA38C7D46C,2024-02-03,00:08:33,18.62,100.0,56.0,23.483,120.487
74DA38B0539E,2024-02-03,00:08:38,17.75,100.0,138.0,23.581,120.559
74DA38C7D652,2024-02-03,00:08:58,18.37,100.0,17.0,24.784,121.022
74DA38B053D4,2024-02-03,00:09:12,22.12,80.0,1.0,25.021,121.501
74DA38B053F4,2024-02-03,00:09:12,24.0,100.0,0.0,24.79,120.953
74DA38C7CEAC,2024-02-03,00:09:15,21.12,100.0,47.0,23.459,120.455
74DA38C7D4B4,2024-02-03,00:09:35,23.75,73.0,42.0,23.605,120.459
74DA38C7CEA6,2024-02-03,00:09:41,23.5,80.0,38.0,23.474,120.47
74DA38B053B2,2024-02-03,00:09:46,19.5,100.0,0.0,23.462,120.454
74DA38C7D606,2024-02-03,00:10:57,20.0,97.0,9.0,24.822,120.973
74DA38B053CA,2024-02-03,00:11:31,18.87,84.0,9.0,24.948,121.206
74DA38B053E4,2024-02-03,00:11:41,17.25,100.0,11.0,24.797,121.001
74DA38C7D092,2024-02-03,00:11:56,20.5,91.0,47.0,23.442,120.454
74DA38C7D62A,2024-02-03,00:12:47,17.37,100.0,1.0,24.813,120.981
74DA38B053F8,2024-02-03,00:13:25,18.37,100.0,14.0,24.807,120.955
74DA38C7D63E,2024-02-03,00:13:45,17.62,100.0,4.0,24.747,121.004
74DA38C7D616,2024-02-03,00:13:49,17.25,100.0,6.0,24.794,120.978
74DA38C7D60A,2024-02-03,00:14:11,18.87,100.0,0.0,24.741,120.906
74DA38C7D510,2024-02-03,00:14:23,19.12,100.0,13.0,24.789,120.927
74DA38B0539E,2024-02-03,00:14:36,17.87,100.0,114.0,23.581,120.559
74DA38C7D46C,2024-02-03,00:14:48,18.75,100.0,55.0,23.483,120.487
74DA38C7D652,2024-02-03,00:15:00,18.5,100.0,18.0,24.784,121.022
74DA38B053D4,2024-02-03,00:15:06,22.12,80.0,1.0,25.021,121.501
74DA38B053F4,2024-02-03,00:15:07,24.0,100.0,0.0,24.79,120.953
74DA38C7CEAC,2024-02-03,00:15:24,21.25,100.0,47.0,23.459,120.455
74DA38B053B2,2024-02-03,00:15:41,19.62,100.0,0.0,23.462,120.454
74DA38C7D4B4,2024-02-03,00:15:42,23.75,73.0,41.0,23.605,120.459
74DA38C7CEA6,2024-02-03,00:15:45,23.5,81.0,39.0,23.474,120.47
74DA38C7D606,2024-02-03,00:16:57,20.0,97.0,8.0,24.822,120.973
74DA38B053CA,2024-02-03,00:17:28,18.87,84.0,8.0,24.948,121.206
74DA38B053E4,2024-02-03,00:17:35,17.37,100.0,11.0,24.797,121.001
74DA38C7D092,2024-02-03,00:18:06,20.37,91.0,48.0,23.442,120.454
74DA38C7D62A,2024-02-03,00:18:50,17.37,100.0,2.0,24.813,120.981
74DA38B053F8,2024-02-03,00:19:19,18.37,100.0,15.0,24.807,120.955
74DA38C7D63E,2024-02-03,00:19:47,17.62,100.0,4.0,24.747,121.004
74DA38C7D616,2024-02-03,00:19:50,17.37,100.0,7.0,24.794,120.978
74DA38C7D60A,2024-02-03,00:20:12,18.87,100.0,0.0,24.741,120.906
74DA38C7D510,2024-02-03,00:20:19,19.25,100.0,13.0,24.789,120.927
74DA38B0539E,2024-02-03,00:20:32,18.0,100.0,56.0,23.581,120.559
74DA38B053D4,2024-02-03,00:21:00,22.12,81.0,1.0,25.021,121.501
74DA38B053F4,2024-02-03,00:21:03,24.0,100.0,0.0,24.79,120.953
74DA38C7D46C,2024-02-03,00:21:03,18.75,100.0,56.0,23.483,120.487
74DA38C7D652,2024-02-03,00:21:04,18.5,100.0,17.0,24.784,121.022
74DA38C7CEAC,2024-02-03,00:21:34,21.25,100.0,48.0,23.459,120.455
74DA38B053B2,2024-02-03,00:21:36,19.75,100.0,0.0,23.462,120.454
74DA38C7D4B4,2024-02-03,00:21:49,23.87,73.0,42.0,23.605,120.459
74DA38C7CEA6,2024-02-03,00:21:52,23.62,81.0,40.0,23.474,120.47
74DA38C7D606,2024-02-03,00:22:59,20.0,97.0,9.0,24.822,120.973
74DA38B053CA,2024-02-03,00:23:22,18.87,84.0,8.0,24.948,121.206
74DA38B053E4,2024-02-03,00:23:30,17.62,100.0,13.0,24.797,121.001
74DA38C7D092,2024-02-03,00:24:16,20.37,91.0,49.0,23.442,120.454
74DA38C7D62A,2024-02-03,00:24:52,17.37,100.0,0.0,24.813,120.981
74DA38B053F8,2024-02-03,00:25:14,18.5,100.0,13.0,24.807,120.955
74DA38C7D63E,2024-02-03,00:25:48,17.5,100.0,4.0,24.747,121.004
74DA38C7D616,2024-02-03,00:25:50,17.37,100.0,7.0,24.794,120.978
74DA38C7D510,2024-02-03,00:26:14,19.12,100.0,10.0,24.789,120.927
