device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38C7CEA6,2024-10-30,00:00:10,27.12,79.0,192.0,23.474,120.47
74DA38B053E0,2024-10-30,00:00:30,23.62,93.0,6.0,25.062,121.451
74DA38C7CEAC,2024-10-30,00:00:56,24.75,100.0,12.0,23.459,120.455
74DA38B053E4,2024-10-30,00:01:10,21.25,100.0,5.0,24.797,121.001
74DA38C7D510,2024-10-30,00:01:12,22.87,100.0,10.0,24.789,120.927
74DA38C7D408,2024-10-30,00:01:19,23.75,100.0,2.0,23.755,120.374
74DA38C7D640,2024-10-30,00:01:22,22.62,100.0,12.0,24.802,120.959
74DA38C7D46C,2024-10-30,00:01:31,22.62,100.0,26.0,23.483,120.487
74DA38C7D606,2024-10-30,00:01:37,24.12,92.0,12.0,24.822,120.973
74DA38B053CA,2024-10-30,00:02:13,24.62,79.0,8.0,24.948,121.206
74DA38B053AE,2024-10-30,00:02:30,22.12,100.0,6.0,24.304,120.73
74DA38C7D652,2024-10-30,00:03:22,23.0,100.0,6.0,24.784,121.022
74DA38B053B2,2024-10-30,00:03:24,24.37,100.0,9.0,23.462,120.454
74DA38C7D4B4,2024-10-30,00:03:43,27.25,70.0,15.0,23.605,120.459
74DA38C7D616,2024-10-30,00:04:15,22.5,100.0,6.0,24.794,120.978
74DA38B0539E,2024-10-30,00:05:41,23.25,100.0,43.0,23.581,120.559
74DA38C7D58C,2024-10-30,00:05:42,22.12,100.0,13.0,24.843,120.927
74DA38B053F8,2024-10-30,00:05:47,22.37,100.0,14.0,24.807,120.955
74DA38C7D62A,2024-10-30,00:05:48,22.12,100.0,1.0,24.813,120.981
74DA38C7D60A,2024-10-30,00:05:50,23.25,100.0,0.0,24.741,120.906
74DA38C7CEA6,2024-10-30,00:06:23,27.12,79.0,198.0,23.474,120.47
74DA38B053E0,2024-10-30,00:06:25,23.37,95.0,7.0,25.062,121.451
74DA38C7CEAC,2024-10-30,00:06:57,24.87,100.0,12.0,23.459,120.455
74DA38B053E4,2024-10-30,00:07:05,21.37,100.0,5.0,24.797,121.001
74DA38C7D510,2024-10-30,00:07:08,22.87,100.0,10.0,24.789,120.927
74DA38C7D408,2024-10-30,00:07:21,23.75,100.0,2.0,23.755,120.374
74DA38C7D640,2024-10-30,00:07:25,22.75,100.0,11.0,24.802,120.959
74DA38C7D46C,2024-10-30,00:07:39,22.87,100.0,25.0,23.483,120.487
74DA38C7D606,2024-10-30,00:07:39,24.25,93.0,12.0,24.822,120.973
74DA38B053CA,2024-10-30,00:08:07,24.62,79.0,8.0,24.948,121.206
74DA38B053AE,2024-10-30,00:08:25,22.37,100.0,2.0,24.304,120.73
74DA38B053F4,2024-10-30,00:09:10,28.25,100.0,3.0,24.79,120.953
74DA38B053B2,2024-10-30,00:09:19,24.62,100.0,9.0,23.462,120.454
74DA38C7D652,2024-10-30,00:09:23,23.0,100.0,5.0,24.784,121.022
74DA38C7D4B4,2024-10-30,00:09:44,27.37,70.0,17.0,23.605,120.459
74DA38C7D616,2024-10-30,00:10:16,22.25,100.0,5.0,24.794,120.978
74DA38B0539E,2024-10-30,00:11:37,23.37,100.0,29.0,23.581,120.559
74DA38B053F8,2024-10-30,00:11:42,22.37,100.0,15.0,24.807,120.955
74DA38C7D58C,2024-10-30,00:11:44,22.12,100.0,13.0,24.843,120.927
74DA38C7D62A,2024-10-30,00:11:50,22.12,100.0,1.0,24.813,120.981
74DA38C7D60A,2024-10-30,00:11:51,23.37,100.0,0.0,24.741,120.906
74DA38C7CEA6,2024-10-30,00:12:38,27.25,79.0,187.0,23.474,120.47
74DA38C7CEAC,2024-10-30,00:12:58,24.87,100.0,11.0,23.459,120.455
74DA38B053E4,2024-10-30,00:12:59,21.5,100.0,5.0,24.797,121.001
74DA38C7D510,2024-10-30,00:13:04,23.0,100.0,10.0,24.789,120.927
74DA38C7D408,2024-10-30,00:13:22,23.87,100.0,1.0,23.755,120.374
74DA38C7D640,2024-10-30,00:13:27,22.87,100.0,12.0,24.802,120.959
74DA38C7D606,2024-10-30,00:13:41,24.25,93.0,11.0,24.822,120.973
74DA38C7D46C,2024-10-30,00:13:44,23.12,100.0,25.0,23.483,120.487
74DA38B053CA,2024-10-30,00:14:01,24.62,79.0,7.0,24.948,121.206
74DA38B053AE,2024-10-30,00:14:20,22.87,100.0,5.0,24.304,120.73
74DA38B053F4,2024-10-30,00:15:05,28.25,100.0,3.0,24.79,120.953
74DA38B053B2,2024-10-30,00:15:14,24.87,100.0,9.0,23.462,120.454
74DA38C7D652,2024-10-30,00:15:24,23.0,100.0,5.0,24.784,121.022
74DA38C7D4B4,2024-10-30,00:15:46,27.37,70.0,19.0,23.605,120.459
74DA38C7D616,2024-10-30,00:16:16,22.25,100.0,7.0,24.794,120.978
74DA38B0539E,2024-10-30,00:17:32,23.5,100.0,28.0,23.581,120.559
74DA38B053F8,2024-10-30,00:17:36,22.37,100.0,14.0,24.807,120.955
74DA38C7D58C,2024-10-30,00:17:45,22.12,100.0,13.0,24.843,120.927
74DA38C7D62A,2024-10-30,00:17:52,22.12,100.0,1.0,24.813,120.981
74DA38C7D60A,2024-10-30,00:17:53,23.5,100.0,0.0,24.741,120.906
